OBJECTID,Name,Jurisdiction,County,Type,Sub_Type,Status,Acres,Source,centroid_lat,centroid_lon
25098,Cheriton Circle Open Space,Reynoldsburg,FRA,GREEN SPACE,NOS,Public,0.75542079,MORPC Standardized ELU 2021,39.9745702,-82.7924954
25099,Carpenter Road Open Space,Gahanna ,FRA,GREEN SPACE,NOS,Private,1.23640767,MORPC Standardized ELU 2021,40.0221794,-82.8666897
25100,South Hamilton Road Open Space,Gahanna,FRA,GREEN SPACE,NOS,Private,0.6257308,MORPC Standardized ELU 2021,40.0173499,-82.8672210
25101,West Wilson Bridge Road Open Space,Worthington,FRA,GREEN SPACE,NOS,Public,2.95467597,MORPC Standardized ELU 2021,40.1062167,-83.0372146
25102,Kendall Ridge Loop Open Space,Dublin,FRA,GREEN SPACE,NOS,Public,0.51861456,MORPC Standardized ELU 2021,40.0915436,-83.1607292
25103,Winslow Court Open Space,Dublin,FRA,GREEN SPACE,NOS,Public,0.01075268,MORPC Standardized ELU 2021,40.0906812,-83.1649904
25104,Caplestone Lane Open Space,Dublin,FRA,GREEN SPACE,NOS,Public,0.84763465,MORPC Standardized ELU 2021,40.1207902,-83.1464711
25105,Memorial Drive Open Space,Dublin,FRA,GREEN SPACE,NOS,Public,4.04002794,MORPC Standardized ELU 2021,40.1393277,-83.1305087
25106,Riggins Court Open Space,Hilliard,FRA,GREEN SPACE,NOS,Public,2.79865401,MORPC Standardized ELU 2021,40.0665396,-83.1363735
25107,Riggins Road Open Space,Hilliard,FRA,GREEN SPACE,NOS,Public,1.74546608,MORPC Standardized ELU 2021,40.0632764,-83.1403561
25108,Riggins Road Open Space,Hilliard,FRA,GREEN SPACE,NOS,Public,4.75151528,MORPC Standardized ELU 2021,40.0627519,-83.1402079
25994,Langston Park,Upper Arlington,FRA,PARK,N,Public,14.6761612,Existing Land Use 2021,40.0465793,-83.0616820
26013,Griggs Park,Columbus,FRA,PARK,R,Public,43.52250792,Existing Land Use 2021,40.0080929,-83.0889088
26014,,Hamilton Twp,FRA,Park,C,Public,58.21594664,,39.8481018,-82.9586800
26031,Berwick Park,Columbus,FRA,Park,C,Public,9.1038887,Columbus GIS,,
26032,Vendome Drive South Open Space,Columbus,FRA,Park,NOS,Public,3.32143575,,40.0015467,-82.9475126
26033,Heed Park,Franklin Twp,FRA,Park,C,Public,3.93776286,,39.9847208,-83.0909615
26034,Clinton Twp Playground,Clinton Twp,FRA,Park,C,Public,1.039717,,39.9948927,-83.0331533
26035,Chambers Circle Open Space,Clinton Twp,FRA,Park,C,Public,0.86785506,,39.9929195,-83.0330837
26036,Triangle Park,Clinton Twp,FRA,Park,NOS,Public,0.24539838,,39.9965958,-83.0335283
26037,Charing Ravine Park,Upper Arlington,FRA,Park,C,Public,1.78898009,,40.0130867,-83.0886635
26038,Nursery Park,Upper Arlington,FRA,Park,C,Public,1.24054265,,40.0101384,-83.0798022
26039,Wyandot Park,Upper Arlington,FRA,Park,C,Public,2.51720789,,40.0468570,-83.0944958
26040,Bush Country Park,Columbus,FRA,Park,NOS,Public,2.84115711,,40.1331227,-83.0383571
26044,,Dublin,FRA,PARK,PRES,,,,40.0912048,-83.1592982
26045,,Dublin,FRA,PARK,PRES,,,,40.0920315,-83.1577115
26046,,Dublin,FRA,PARK,PRES,,,,40.0915838,-83.1562557
26047,,Dublin,FRA,PARK,PRES,,,,40.0915843,-83.1548923
26048,,Dublin,FRA,PARK,PRES,,,,40.0904649,-83.1578475
26049,,,FRA,CEMETERY,CEM,,45.39108547,,39.9503316,-83.0455968
26050,,,FRA,PARK,NOS,,6.82716799,,40.1053069,-83.1436778
26051,,,FRA,PARK,N,,1.87766678,,40.1070436,-83.1480384
26052,,,FRA,GREEN SPACE,NOS,,1.21653822,,40.0775681,-83.1696281
26053,,,FRA,GREEN SPACE,NOS,,2.59274271,,40.0856107,-83.1845724
26054,,,FRA,GREEN SPACE,NOS,,0.23567496,,,
26055,,,FRA,GREEN SPACE,NOS,,2.67020493,,40.0782357,-83.1753949
26056,,,FRA,GREEN SPACE,NOS,,0.69779291,,40.0776561,-83.1764331
26057,,,FRA,GREEN SPACE,NOS,,0.62981363,,40.0785865,-83.1767008
26058,,,FRA,GREEN SPACE,NOS,,1.16038504,,40.0817143,-83.1751044
26059,,,FRA,GREEN SPACE,NOS,,4.38598985,,40.0809704,-83.1840551
26060,,,FRA,GREEN SPACE,NOS,,2.16927754,,40.0797662,-83.1834902
26061,,,FRA,GREEN SPACE,NOS,,3.05671302,,40.0782022,-83.1780888
26062,,,FRA,GREEN SPACE,NOS,,1.67080806,,40.0781449,-83.1818114
26063,,,FRA,GREEN SPACE,NOS,,1.48479817,,40.0773742,-83.1655368
26064,,,FRA,PARK,N,,0.52303713,,40.0773748,-83.1633270
26065,,,FRA,PARK,N,,0.69752501,,40.0774566,-83.1621444
26066,,,FRA,PARK,N,,3.13939667,,40.0411104,-83.1838040
26067,,,FRA,PARK,NOS,,6.26785257,,40.0406533,-83.1866384
26068,,,FRA,PARK,N,,2.2555207,,40.0153985,-83.1544874
26069,,,FRA,PARK,N,,2.53893875,,40.0152103,-83.1651324
26070,,,FRA,PARK,PRES,,101.80872053,,39.8209389,-82.8970219
26071,,,FRA,PARK,PRES,,84.43691021,,39.8325158,-82.8894047
26072,,,FRA,PARK,PRES,,100.51023291,,39.8163133,-82.8982532
26414,Mason Run Park,Columbus,FRA,PARK,CON,,,Columbus,39.9202550,-82.8895968
26415,ROBERTS ROAD PARKLAND,Columbus,FRA,PARK,CON,,,Columbus,40.0031129,-83.1700251
26416,SUGAR FARMS PARKLAND,Columbus,FRA,PARK,PRES,,,,39.9896043,-83.1710328
26417,COLE PARKLAND,Columbus,FRA,PARK,PRES,,,,39.9832165,-83.1813341
26418,RENNER PARKLAND,Columbus,FRA,PARK,PRES,,,,39.9806619,-83.1716843
26419,GREENLEAF PARK,Columbus,FRA,PARK,PRES,,,Columbus,39.9240273,-83.0407965
26420,LINVIEW PARK,Columbus,FRA,PARK,N,,,Columbus,40.0230359,-82.9565536
26421,INNIS PARK,,FRA,PARK,R,,,Columbus,40.0381509,-82.9352053
26422,LINDEN GREEN LINE,,FRA,GREEN SPACE,NOS,,,Columbus,40.0458830,-82.9499543
