OBJECTID,County,LocalParcelID,StateParcelID,Name,Situs Address All,Owner All,Mail Address,Mail State,AgencyName,Calculated Acreage,Auditor Link
9012,Franklin,010-066692,39049-010-066692,,,,,,HIGHER EDUCATION,1.04578894111686,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-066692
9013,Franklin,010-103670,39049-010-103670,,,,,,HIGHER EDUCATION,9.44811185047885,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-103670
9014,Franklin,010-056687,39049-010-056687,,,,,,TRANSPORTATION,0.0764136055420178,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-056687
9015,Franklin,190-005100,39049-190-005100,,,,,,TRANSPORTATION,1.42936039348104,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/190-005100
9016,Franklin,010-187648,39049-010-187648,,,,,,NATURAL RESOURCES,1.73960472461186,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-187648
9017,Franklin,010-013475,39049-010-013475,,,,,,NATURAL RESOURCES,3.55290881875801,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-013475
9018,Franklin,010-050368,39049-010-050368,,,,,,HIGHER EDUCATION,0.0793623166537362,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-050368
9019,Franklin,010-077786,39049-010-077786,,,,,,HIGHER EDUCATION,0.038414829636529,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-077786
9020,Franklin,010-029042,39049-010-029042,,,,,,HIGHER EDUCATION,0.0692964353433072,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-029042
9021,Franklin,010-012878,39049-010-012878,,,,,,HIGHER EDUCATION,1.07810286076579,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-012878
9022,Franklin,010-204661,39049-010-204661,,,,,,ADMINISTRATIVE SERVICES,0.833261916877007,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-204661
9023,Franklin,590-212338,39049-590-212338,,,,,,TRANSPORTATION,0.152777275843789,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/590-212338
9024,Franklin,610-296235,39049-610-296235,,,,,,HIGHER EDUCATION,0.197538989626943,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/610-296235
9025,Franklin,610-288200,39049-610-288200,,,,,,HIGHER EDUCATION,6.61200051646747,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/610-288200
9026,Franklin,010-020250,39049-010-020250,,,,,,HIGHER EDUCATION,0.151961924600689,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-020250
9027,Franklin,010-023304,39049-010-023304,,,,,,HIGHER EDUCATION,0.205988661607935,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-023304
9028,Franklin,010-038420,39049-010-038420,,,,,,HIGHER EDUCATION,0.121883578411046,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-038420
9029,Franklin,010-042872,39049-010-042872,,,,,,HIGHER EDUCATION,0.121763868917641,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-042872
9030,Franklin,010-045380,39049-010-045380,,,,,,ROW,0.0938012588810877,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-045380
9031,Franklin,010-029761,39049-010-029761,,,,,,HIGHER EDUCATION,0.039564102180681,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-029761
9032,Franklin,010-010919,39049-010-010919,,,,,,HIGHER EDUCATION,0.0275478545031006,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-010919
9033,Franklin,010-000724,39049-010-000724,,,,,,TRANSPORTATION,0.0920526613715721,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-000724
9034,Franklin,010-002633,39049-010-002633,,,,,,HIGHER EDUCATION,0.140001920536975,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-002633
9035,Franklin,010-017034,39049-010-017034,,,,,,HIGHER EDUCATION,2.01759067652039,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-017034
